Round,Player ID,Player Name,Position,Team ID,Team Name,Short Name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,yellow_cards,red_cards,bonus,penalties_saved,penalties_missed,saves,value
11,91,Wood,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,62
12,91,Wood,4,5,Burnley,BUR,6,90,1,0,1,0,0,0,0,0,0,0,0,62
13,91,Wood,4,5,Burnley,BUR,7,74,1,0,1,0,0,0,0,1,0,0,0,62
14,91,Wood,4,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,0,62
15,91,Wood,4,5,Burnley,BUR,1,58,0,0,0,2,0,0,0,0,0,0,0,62
16,91,Wood,4,5,Burnley,BUR,2,64,0,0,0,4,0,0,0,0,0,0,0,62
17,91,Wood,4,5,Burnley,BUR,9,84,1,0,1,0,0,0,0,3,0,0,0,62
18,91,Wood,4,5,Burnley,BUR,2,90,0,0,1,0,0,0,0,0,0,0,0,62
19,91,Wood,4,5,Burnley,BUR,2,73,0,0,1,0,0,0,0,0,0,0,0,62
20,91,Wood,4,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,0,62
21,91,Wood,4,5,Burnley,BUR,7,90,1,0,0,2,0,0,0,1,0,0,0,62
22,91,Wood,4,5,Burnley,BUR,2,90,0,0,0,3,0,0,0,0,0,0,0,62
23,91,Wood,4,5,Burnley,BUR,7,90,1,0,0,1,0,0,0,1,0,0,0,62
24,91,Wood,4,5,Burnley,BUR,12,90,1,1,1,0,0,0,0,3,0,0,0,62
25,91,Wood,4,5,Burnley,BUR,2,90,0,0,1,0,0,0,0,0,0,0,0,62
26,91,Wood,4,5,Burnley,BUR,1,21,0,0,0,1,0,0,0,0,0,0,0,62
27,91,Wood,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,62
28,91,Wood,4,5,Burnley,BUR,1,32,0,0,0,0,0,0,0,0,0,0,0,61
29,91,Wood,4,5,Burnley,BUR,9,90,1,0,0,1,0,0,0,3,0,0,0,61
39,91,Wood,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,61
40,91,Wood,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,61
41,91,Wood,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,61
42,91,Wood,4,5,Burnley,BUR,1,21,0,0,0,1,0,0,0,0,0,0,0,61
43,91,Wood,4,5,Burnley,BUR,1,32,0,0,0,0,0,0,0,0,0,0,0,61
44,91,Wood,4,5,Burnley,BUR,2,64,0,0,0,1,0,0,0,0,0,0,0,61
45,91,Wood,4,5,Burnley,BUR,7,90,1,0,0,1,0,0,0,1,0,0,0,61
46,91,Wood,4,5,Burnley,BUR,7,78,1,0,1,0,0,0,0,1,0,0,0,61
47,91,Wood,4,5,Burnley,BUR,9,90,1,0,0,2,0,0,0,3,0,0,0,62
1,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,54
4,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,54
5,92,Vydra,4,5,Burnley,BUR,4,12,0,1,0,0,0,0,0,0,0,0,0,54
6,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,54
7,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,54
8,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,54
9,92,Vydra,4,5,Burnley,BUR,1,7,0,0,0,0,0,0,0,0,0,0,0,53
10,92,Vydra,4,5,Burnley,BUR,1,27,0,0,0,0,0,0,0,0,0,0,0,53
11,92,Vydra,4,5,Burnley,BUR,1,12,0,0,0,0,0,0,0,0,0,0,0,53
12,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
13,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
14,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
15,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
16,92,Vydra,4,5,Burnley,BUR,1,25,0,0,0,1,0,0,0,0,0,0,0,53
17,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
18,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
19,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
20,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
21,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
22,92,Vydra,4,5,Burnley,BUR,1,17,0,0,0,0,0,0,0,0,0,0,0,53
23,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
24,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
25,92,Vydra,4,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,53
26,92,Vydra,4,5,Burnley,BUR,9,68,1,0,1,0,0,0,0,3,0,0,0,53
27,92,Vydra,4,5,Burnley,BUR,6,81,1,0,1,0,0,0,0,0,0,0,0,53
28,92,Vydra,4,5,Burnley,BUR,1,57,0,0,0,0,0,0,0,0,0,0,0,53
29,92,Vydra,4,5,Burnley,BUR,1,22,0,0,0,0,0,0,0,0,0,0,0,53
39,92,Vydra,4,5,Burnley,BUR,2,87,0,0,0,5,0,0,0,0,0,0,0,53
40,92,Vydra,4,5,Burnley,BUR,2,90,0,0,1,0,0,0,0,0,0,0,0,53
41,92,Vydra,4,5,Burnley,BUR,2,90,0,0,1,0,0,0,0,0,0,0,0,53
42,92,Vydra,4,5,Burnley,BUR,2,68,0,0,1,0,0,0,0,0,0,0,0,53
43,92,Vydra,4,5,Burnley,BUR,1,57,0,0,0,0,0,0,0,0,0,0,0,52
44,92,Vydra,4,5,Burnley,BUR,1,25,0,0,0,0,0,0,0,0,0,0,0,52
45,92,Vydra,4,5,Burnley,BUR,1,39,0,0,0,1,0,0,0,0,0,0,0,51
46,92,Vydra,4,5,Burnley,BUR,1,11,0,0,0,0,0,0,0,0,0,0,0,51
47,92,Vydra,4,5,Burnley,BUR,1,12,0,0,0,0,0,0,0,0,0,0,0,51
1,93,Pope,1,5,Burnley,BUR,8,90,0,0,1,0,0,0,0,1,0,0,3,45
2,93,Pope,1,5,Burnley,BUR,3,90,0,0,0,2,0,0,0,0,0,0,7,45
3,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,2,45
4,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,3,0,0,0,0,0,0,5,45
5,93,Pope,1,5,Burnley,BUR,3,90,0,0,0,1,0,0,0,0,0,0,4,46
6,93,Pope,1,5,Burnley,BUR,6,90,0,0,1,0,0,0,0,0,0,0,2,46
7,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,2,0,0,0,0,0,0,1,46
8,93,Pope,1,5,Burnley,BUR,7,90,0,0,1,0,0,0,0,1,0,0,2,46
9,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,2,0,0,0,0,0,0,1,47
10,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,4,0,0,0,0,0,0,3,47
11,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,3,0,0,0,0,0,0,3,47
12,93,Pope,1,5,Burnley,BUR,9,90,0,0,1,0,0,0,0,2,0,0,4,47
13,93,Pope,1,5,Burnley,BUR,9,90,0,0,1,0,0,0,0,2,0,0,4,47
14,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,2,0,0,0,0,0,0,1,47
15,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,4,0,0,0,0,0,0,4,47
16,93,Pope,1,5,Burnley,BUR,0,90,0,0,0,5,0,0,0,0,0,0,2,47
17,93,Pope,1,5,Burnley,BUR,6,90,0,0,1,0,0,0,0,0,0,0,0,47
18,93,Pope,1,5,Burnley,BUR,7,90,0,0,1,0,0,0,0,1,0,0,0,47
19,93,Pope,1,5,Burnley,BUR,3,90,0,0,0,1,0,0,0,0,0,0,4,47
20,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,2,0,0,0,0,0,0,2,47
21,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,4,47
22,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,3,0,0,0,0,0,0,5,47
23,93,Pope,1,5,Burnley,BUR,12,90,0,0,0,1,0,0,0,3,1,0,7,46
24,93,Pope,1,5,Burnley,BUR,10,90,0,0,1,0,0,0,0,2,0,0,7,46
25,93,Pope,1,5,Burnley,BUR,6,90,0,0,1,0,0,0,0,0,0,0,2,46
26,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,1,47
27,93,Pope,1,5,Burnley,BUR,9,90,0,0,1,0,0,0,0,2,0,0,4,47
28,93,Pope,1,5,Burnley,BUR,10,90,0,0,1,0,0,0,0,3,0,0,4,48
29,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,1,48
39,93,Pope,1,5,Burnley,BUR,0,90,0,0,0,5,0,0,0,0,0,0,2,49
40,93,Pope,1,5,Burnley,BUR,10,90,0,0,1,0,0,0,0,3,0,0,3,49
41,93,Pope,1,5,Burnley,BUR,9,90,0,0,1,0,0,0,0,2,0,0,4,50
42,93,Pope,1,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,2,50
43,93,Pope,1,5,Burnley,BUR,8,90,0,0,1,0,0,0,0,1,0,0,4,50
44,93,Pope,1,5,Burnley,BUR,3,90,0,0,0,1,0,1,0,0,0,0,8,50
45,93,Pope,1,5,Burnley,BUR,3,90,0,0,0,1,0,0,0,0,0,0,4,50
46,93,Pope,1,5,Burnley,BUR,6,90,0,0,1,0,0,0,0,0,0,0,2,51
47,93,Pope,1,5,Burnley,BUR,1,90,0,0,0,2,0,0,0,0,0,0,2,52
1,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,45
3,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,45
4,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
5,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
6,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
7,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
8,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
9,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
10,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,44
11,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
12,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
13,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
14,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
15,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
16,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
17,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
18,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
19,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
20,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
21,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,43
22,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
23,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
24,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
25,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
26,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
27,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
28,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
29,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
39,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
40,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
41,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
42,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
43,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
44,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
45,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
46,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
47,95,Hart,1,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1,96,Gudmundsson,3,5,Burnley,BUR,9,90,1,0,1,0,0,0,0,1,0,0,0,60
2,96,Gudmundsson,3,5,Burnley,BUR,2,71,0,0,0,2,0,0,0,0,0,0,0,60
3,96,Gudmundsson,3,5,Burnley,BUR,3,65,0,0,1,0,0,0,0,0,0,0,0,60
4,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,60
5,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,60
6,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,60
7,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,60
8,96,Gudmundsson,3,5,Burnley,BUR,3,83,0,0,1,0,0,0,0,0,0,0,0,59
9,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
10,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
11,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
12,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
13,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
14,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
15,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
16,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
17,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
18,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
19,96,Gudmundsson,3,5,Burnley,BUR,1,22,0,0,0,1,0,0,0,0,0,0,0,59
20,96,Gudmundsson,3,5,Burnley,BUR,1,22,0,0,0,1,0,0,0,0,0,0,0,59
21,96,Gudmundsson,3,5,Burnley,BUR,1,45,0,0,0,0,0,0,0,0,0,0,0,59
22,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
23,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
24,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
25,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
26,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
27,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
28,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
29,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
39,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
40,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
41,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
42,96,Gudmundsson,3,5,Burnley,BUR,1,1,0,0,0,0,0,0,0,0,0,0,0,59
43,96,Gudmundsson,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,59
44,96,Gudmundsson,3,5,Burnley,BUR,1,25,0,0,0,0,0,0,0,0,0,0,0,59
45,96,Gudmundsson,3,5,Burnley,BUR,2,60,0,0,0,1,0,0,0,0,0,0,0,59
46,96,Gudmundsson,3,5,Burnley,BUR,4,59,0,1,0,0,0,0,0,0,0,0,0,59
47,96,Gudmundsson,3,5,Burnley,BUR,2,74,0,0,0,2,0,0,0,0,0,0,0,59
1,97,McNeil,3,5,Burnley,BUR,3,83,0,0,1,0,0,0,0,0,0,0,0,60
2,97,McNeil,3,5,Burnley,BUR,5,90,0,1,0,2,0,0,0,0,0,0,0,60
3,97,McNeil,3,5,Burnley,BUR,6,85,0,1,1,0,0,0,0,0,0,0,0,60
4,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,3,0,0,0,0,0,0,0,60
5,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
6,97,McNeil,3,5,Burnley,BUR,6,78,0,1,1,0,0,0,0,0,0,0,0,60
7,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,0,60
8,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
9,97,McNeil,3,5,Burnley,BUR,5,90,0,1,0,2,0,0,0,0,0,0,0,60
10,97,McNeil,3,5,Burnley,BUR,8,90,1,0,0,4,0,0,0,1,0,0,0,60
11,97,McNeil,3,5,Burnley,BUR,1,58,0,0,0,3,0,0,0,0,0,0,0,60
12,97,McNeil,3,5,Burnley,BUR,6,90,0,1,1,0,0,0,0,0,0,0,0,60
13,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
14,97,McNeil,3,5,Burnley,BUR,1,90,0,0,0,2,0,1,0,0,0,0,0,60
15,97,McNeil,3,5,Burnley,BUR,2,74,0,0,0,3,0,0,0,0,0,0,0,60
16,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,5,0,0,0,0,0,0,0,60
17,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
18,97,McNeil,3,5,Burnley,BUR,2,81,0,0,1,0,0,1,0,0,0,0,0,60
19,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
20,97,McNeil,3,5,Burnley,BUR,1,90,0,0,0,2,0,1,0,0,0,0,0,60
21,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,0,60
22,97,McNeil,3,5,Burnley,BUR,1,90,0,0,0,3,0,1,0,0,0,0,0,60
23,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
24,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
25,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
26,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
27,97,McNeil,3,5,Burnley,BUR,14,90,1,1,1,0,0,0,0,3,0,0,0,60
28,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
29,97,McNeil,3,5,Burnley,BUR,4,90,0,0,0,1,0,0,0,2,0,0,0,60
39,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,5,0,0,0,0,0,0,0,61
40,97,McNeil,3,5,Burnley,BUR,5,90,0,1,1,0,0,1,0,0,0,0,0,61
41,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,61
42,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,61
43,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,61
44,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
45,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,1,0,0,0,0,0,0,0,60
46,97,McNeil,3,5,Burnley,BUR,3,90,0,0,1,0,0,0,0,0,0,0,0,60
47,97,McNeil,3,5,Burnley,BUR,2,90,0,0,0,2,0,0,0,0,0,0,0,60
1,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
4,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
5,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
6,98,Brady,3,5,Burnley,BUR,1,1,0,0,0,0,0,0,0,0,0,0,0,55
7,98,Brady,3,5,Burnley,BUR,1,7,0,0,0,0,0,0,0,0,0,0,0,55
8,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
9,98,Brady,3,5,Burnley,BUR,2,64,0,0,0,1,0,0,0,0,0,0,0,55
10,98,Brady,3,5,Burnley,BUR,6,6,0,2,0,0,0,1,0,0,0,0,0,55
11,98,Brady,3,5,Burnley,BUR,1,31,0,0,0,0,0,0,0,0,0,0,0,55
12,98,Brady,3,5,Burnley,BUR,1,1,0,0,0,0,0,0,0,0,0,0,0,55
13,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
14,98,Brady,3,5,Burnley,BUR,2,76,0,0,0,1,0,0,0,0,0,0,0,55
15,98,Brady,3,5,Burnley,BUR,6,15,1,0,0,1,0,0,0,0,0,0,0,55
16,98,Brady,3,5,Burnley,BUR,2,70,0,0,0,4,0,0,0,0,0,0,0,55
17,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
18,98,Brady,3,5,Burnley,BUR,1,8,0,0,0,0,0,0,0,0,0,0,0,55
19,98,Brady,3,5,Burnley,BUR,3,67,0,0,1,0,0,0,0,0,0,0,0,55
20,98,Brady,3,5,Burnley,BUR,1,3,0,0,0,1,0,0,0,0,0,0,0,55
21,98,Brady,3,5,Burnley,BUR,1,45,0,0,0,2,0,0,0,0,0,0,0,55
22,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
23,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
24,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
25,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
26,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
27,98,Brady,3,5,Burnley,BUR,1,1,0,0,0,0,0,0,0,0,0,0,0,55
28,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
29,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
39,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
40,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
41,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
42,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
43,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
44,98,Brady,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
45,98,Brady,3,5,Burnley,BUR,1,5,0,0,0,0,0,0,0,0,0,0,0,55
46,98,Brady,3,5,Burnley,BUR,1,30,0,0,0,0,0,0,0,0,0,0,0,55
47,98,Brady,3,5,Burnley,BUR,1,15,0,0,0,0,0,0,0,0,0,0,0,55
1,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
3,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
4,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
5,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
6,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
7,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
8,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
9,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
10,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
11,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
12,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
13,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
14,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
15,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
16,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
17,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
18,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
19,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
20,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
21,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
22,99,Defour,3,5,Burnley,BUR,0,0,0,0,0,0,0,0,0,0,0,0,0,55
