Pos,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
M,Roberts,5.0,5.0,Leeds,22,0.793,26,1.348,26,1.126,28,1.033,30,1.255,31,1.462,31,1.343,31,1.376
M,Grot,5.0,5.0,Leeds,4,0.129,5,0.196,6,0.216,8,0.262,6,0.212,8,0.298,7,0.251,8,0.292
G,Miazek,4.0,4.0,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Poveda-Ocampo,4.5,4.5,Leeds,5,0.167,4,0.171,5,0.19,6,0.205,7,0.261,6,0.24,9,0.343,8,0.31
M,Shackleton,5.0,5.0,Leeds,9,0.325,11,0.539,8,0.336,10,0.371,12,0.492,12,0.542,15,0.631,12,0.517
D,Struijk,4.0,4.0,Leeds,60,0.817,63,2.576,61,2.06,59,0.81,60,1.877,63,2.105,59,1.804,57,2.058
M,Stevens,4.5,4.5,Leeds,4,0.13,6,0.243,5,0.183,7,0.231,8,0.287,7,0.267,7,0.256,7,0.261
G,Meslier,4.5,4.5,Leeds,23,0.803,24,1.087,26,1.109,23,0.816,25,1.031,24,1.006,25,1.016,26,1.141
D,Davis,4.0,4.0,Leeds,42,0.635,40,1.702,44,1.563,41,0.624,44,1.438,39,1.364,44,1.407,49,1.842
D,Casey,4.0,4.0,Leeds,6,0.097,9,0.379,8,0.283,8,0.128,12,0.391,12,0.418,12,0.384,11,0.411
D,Morgan,4.5,4.5,Leicester,65,2.716,85,4.293,85,1.376,64,2.965,58,2.869,57,1.817,51,2.076,52,2.131
G,Schmeichel,5.5,5.5,Leicester,89,3.726,89,4.154,88,3.095,87,3.852,88,3.993,86,3.337,86,3.665,88,3.77
D,Fuchs,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,22,0.678,34,1.331,46,1.818
D,Evans,5.5,5.5,Leicester,0,0,0,0,0,0,82,3.663,80,3.833,80,2.45,79,3.087,78,3.082
M,Silva,4.5,4.5,Leicester,4,0.15,3,0.116,3,0.094,3,0.115,1,0.04,2,0.068,2,0.072,2,0.071
M,Albrighton,5.5,5.5,Leicester,29,1.33,29,1.404,28,0.978,25,1.207,25,1.267,25,1.004,25,1.103,25,1.05
M,James,4.5,4.5,Leicester,4,0.155,3,0.12,5,0.163,1,0.04,2,0.082,1,0.035,2,0.075,1,0.037
G,Ward,4.5,4.5,Leicester,2,0.083,2,0.093,4,0.141,2,0.088,1,0.045,3,0.116,3,0.128,1,0.043
F,Vardy,10.0,10.0,Leicester,83,5.169,82,5.257,79,3.328,79,5.166,78,5.402,76,3.883,76,4.462,74,4.018
M,Praet,5.5,5.5,Leicester,19,0.778,15,0.668,13,0.439,13,0.563,15,0.674,14,0.53,14,0.571,15,0.586
D,Pereira,6.0,6.0,Leicester,0,0,0,0,0,0,36,1.694,54,2.729,71,2.281,69,2.847,71,2.946
D,Amartey,4.0,4.0,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Tielemans,6.5,6.5,Leicester,73,2.967,65,2.809,60,1.908,62,2.714,62,2.825,59,2.109,63,2.501,59,2.27
M,Pérez,6.5,6.5,Leicester,52,2.99,46,2.802,49,1.989,49,3.016,48,3.11,47,2.282,46,2.553,47,2.49
M,Gray,5.5,5.5,Leicester,9,0.493,9,0.511,10,0.406,7,0.4,7,0.419,8,0.375,7,0.367,8,0.397
M,Maddison,7.0,7.0,Leicester,37,1.849,59,3.03,79,2.628,78,3.934,74,3.922,76,3.066,75,3.451,74,3.214
D,Chilwell,5.5,5.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Iheanacho,6.0,6.0,Leicester,35,2.082,38,2.315,40,1.716,34,2.1,38,2.457,36,1.815,39,2.191,37,1.947
M,Choudhury,5.0,5.0,Leicester,16,0.575,12,0.46,11,0.34,11,0.418,9,0.353,11,0.369,11,0.389,14,0.491
M,Barnes,7.0,7.0,Leicester,56,3.204,54,3.268,49,1.989,49,2.952,51,3.23,52,2.478,52,2.819,50,2.565
M,Ndidi,5.0,5.0,Leicester,80,2.534,76,2.625,72,1.883,69,2.364,70,2.473,69,2.036,66,2.117,68,2.143
D,Benkovic,4.5,4.5,Leicester,69,2.613,64,2.962,62,0.948,31,1.315,31,1.401,19,0.567,17,0.631,15,0.566
D,Söyüncü,5.5,5.5,Leicester,88,3.321,86,3.976,84,1.208,83,3.494,81,3.647,80,2.306,78,2.853,77,2.864
D,Justin,4.5,4.5,Leicester,87,3.348,84,3.832,83,1.269,72,3.127,70,3.237,63,1.9,61,2.243,57,2.207
D,Thomas,4.5,4.5,Leicester,71,2.777,65,3.059,62,0.982,34,1.469,29,1.333,17,0.521,17,0.646,14,0.539
M,Milner,5.5,5.5,Liverpool,20,1.069,19,0.827,21,1.056,22,1.193,19,0.926,24,1.268,24,1.335,24,0.952
D,Tsimikas,5.0,5.0,Liverpool,5,0.273,7,0.274,8,0.389,11,0.606,12,0.604,14,0.806,11,0.621,13,0.372
M,Wijnaldum,5.5,5.5,Liverpool,62,2.546,56,1.933,56,2.14,52,2.159,55,2.11,53,2.18,53,2.237,52,1.672
M,Henderson,5.5,5.5,Liverpool,76,3.177,74,2.503,75,2.862,74,3.115,72,2.773,70,2.938,70,3.03,67,2.101
G,Adrián,4.5,4.5,Liverpool,0,0,1,0.04,2,0.088,2,0.093,1,0.045,3,0.148,4,0.189,3,0.108
D,Matip,5.5,5.5,Liverpool,4,0.193,6,0.206,8,0.345,6,0.29,8,0.36,10,0.514,8,0.395,12,0.292
M,Shaqiri,6.5,6.5,Liverpool,2,0.138,3,0.166,3,0.192,3,0.217,4,0.25,4,0.274,3,0.222,5,0.252
M,Chamberlain,6.5,6.5,Liverpool,1,0.054,16,0.7,22,1.121,24,1.347,23,1.155,24,1.294,25,1.434,27,1.107
F,Firmino,9.5,9.5,Liverpool,71,4.974,64,3.48,68,4.245,65,4.659,64,3.92,64,4.287,64,4.705,64,3.177
D,van Dijk,6.5,6.5,Liverpool,81,4.344,81,2.987,74,3.507,77,4.148,75,3.692,78,4.428,73,4.044,75,1.939
M,Mané,12.0,12.0,Liverpool,80,6.152,76,4.318,74,5.026,73,5.708,73,4.855,72,5.343,70,5.646,68,3.443
G,Alisson,6.0,6.0,Liverpool,89,4.304,88,3.671,87,3.983,87,4.219,88,4.157,86,4.386,85,4.165,86,3.234
M,Fabinho,5.5,5.5,Liverpool,61,2.163,63,1.842,61,2.003,58,2.049,60,1.973,56,2.005,56,2.028,58,1.565
M,Salah,12.0,12.0,Liverpool,78,6.822,76,4.886,71,5.485,73,6.47,72,5.411,71,5.948,70,6.399,69,3.907
D,Robertson,7.0,7.0,Liverpool,84,5.14,82,3.429,81,4.33,79,4.84,77,4.259,75,4.795,76,4.792,75,2.216
F,Origi,5.5,5.5,Liverpool,16,1.043,20,1.047,19,1.121,21,1.356,21,1.197,23,1.388,21,1.378,22,1.081
M,Harry Wilson,5.5,5.5,Liverpool,12,0.806,14,0.734,14,0.846,12,0.818,12,0.709,15,0.967,16,1.115,16,0.765
M,Minamino,6.5,6.5,Liverpool,7,0.487,6,0.326,7,0.437,9,0.631,8,0.488,7,0.466,11,0.789,10,0.491
D,Alexander-Arnold,7.5,7.5,Liverpool,87,5.544,83,3.563,81,4.492,80,5.112,81,4.613,79,5.216,81,5.342,77,2.337
D,Gomez,5.5,5.5,Liverpool,48,2.221,53,1.706,52,2.139,51,2.363,53,2.295,51,2.542,52,2.475,54,1.203
M,Keita,5.5,5.5,Liverpool,45,2.224,42,1.669,41,1.858,42,2.101,45,2.049,46,2.274,45,2.331,47,1.695
F,Brewster,4.5,4.5,Liverpool,0,0,2,0.122,2,0.139,3,0.234,3,0.203,2,0.147,3,0.239,2,0.113
M,Jones,4.5,4.5,Liverpool,3,0.167,2,0.09,3,0.153,3,0.168,3,0.151,3,0.162,4,0.229,5,0.209
D,Williams,4.0,4.0,Liverpool,47,2.346,44,1.541,50,2.219,51,2.555,49,2.271,48,2.555,52,2.677,47,1.161
M,Elliott,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Fernandinho,5.5,5.5,Man City,0,0,35,1.518,36,1.701,35,1.642,34,1.505,34,1.622,36,1.783,37,1.227
G,Bravo,4.5,4.5,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Agüero,10.5,10.5,Man City,0,0,51,3.563,51,4.13,52,4.275,51,4.012,51,4.346,47,3.677,51,3.405
D,Otamendi,5.0,5.0,Man City,0,0,17,0.76,17,0.833,21,1.025,22,1.016,21,1.042,20,1.015,21,0.723
D,Walker,6.0,6.0,Man City,0,0,75,3.391,75,3.685,73,3.565,72,3.318,71,3.52,74,3.808,71,2.468
M,Gündogan,5.5,5.5,Man City,0,0,41,1.73,43,2.005,43,2.01,48,2.162,43,2.066,47,2.174,45,1.769
M,De Bruyne,11.5,11.5,Man City,0,0,77,4.631,74,5.336,75,5.213,73,5.103,74,5.559,73,5.128,70,4.039
D,Stones,5.0,5.0,Man City,0,0,23,1.018,18,0.857,21,0.997,23,1.036,19,0.907,21,1.044,21,0.731
D,Mendy,6.0,6.0,Man City,0,0,41,1.902,39,1.968,37,1.858,38,1.808,38,1.936,41,2.167,39,1.391
M,Mahrez,8.5,8.5,Man City,0,0,47,3.199,49,3.888,46,3.691,47,3.549,48,3.99,46,3.501,43,2.765
M,Sterling,11.5,11.5,Man City,0,0,76,4.959,74,5.597,73,5.573,74,5.44,73,5.79,72,5.29,72,4.379
D,Cancelo,5.5,5.5,Man City,0,0,42,1.882,41,2.013,45,2.195,45,2.07,44,2.181,42,2.152,43,1.479
G,Ederson,6.0,6.0,Man City,0,0,88,4.013,89,4.16,86,4.008,87,3.927,86,4.01,87,4.235,86,3.475
D,Aké,5.5,5.5,Man City,0,0,21,1.116,18,1.044,18,1.045,21,1.157,23,1.36,21,1.261,22,0.927
D,Laporte,6.0,6.0,Man City,0,0,70,3.215,73,3.706,72,3.638,68,3.199,68,3.486,67,3.566,67,2.388
M,Bernardo Silva,7.5,7.5,Man City,0,0,53,2.814,53,3.18,54,3.249,52,3.029,51,3.181,54,3.145,51,2.528
F,Jesus,9.5,9.5,Man City,0,0,39,2.56,38,2.886,39,2.994,41,3.042,39,3.1,43,3.012,37,2.332
D,Zinchenko,5.5,5.5,Man City,0,0,18,0.846,22,1.123,20,1.017,20,0.963,22,1.135,19,1.011,23,0.852
M,Foden,6.5,6.5,Man City,0,0,32,1.845,34,2.207,33,2.166,35,2.202,35,2.36,35,2.115,39,2.015
M,Doyle,4.5,4.5,Man City,0,0,0,0,1,0.056,1,0.056,1,0.054,3,0.173,1,0.054,1,0.048
M,Rodrigo,5.5,5.5,Man City,0,0,74,2.488,74,2.643,74,2.672,69,2.426,69,2.539,68,2.471,70,2.209
M,Torres,7.0,7.0,Man City,0,0,20,1.097,20,1.241,22,1.377,20,1.205,26,1.674,21,1.26,28,1.437
D,Garcia,5.0,5.0,Man City,0,0,37,1.656,37,1.782,36,1.725,35,1.585,36,1.745,38,1.921,39,1.352
G,Romero,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Mata,6.0,6.0,Man Utd,0,0,9,0.523,13,0.698,11,0.582,10,0.555,14,0.693,11,0.591,15,0.79
G,de Gea,5.5,5.5,Man Utd,0,0,81,4.042,80,3.662,80,3.494,81,3.844,77,3.191,80,3.486,79,3.556
D,Smalling,5.0,5.0,Man Utd,0,0,3,0.156,6,0.271,7,0.292,9,0.436,8,0.297,8,0.333,8,0.35
F,Ighalo,6.5,6.5,Man Utd,0,0,10,0.735,12,0.812,12,0.784,11,0.769,14,0.872,13,0.865,12,0.779
D,Rojo,5.0,5.0,Man Utd,0,0,1,0.05,0,0,1,0.039,1,0.046,2,0.069,2,0.079,3,0.123
M,Matic,5.0,5.0,Man Utd,0,0,67,2.376,67,2.202,65,2.057,64,2.172,65,1.976,62,1.986,62,1.99
M,Pogba,8.0,8.0,Man Utd,0,0,50,2.73,49,2.447,48,2.295,56,2.886,50,2.271,52,2.532,50,2.397
D,Jones,5.0,5.0,Man Utd,0,0,1,0.053,1,0.046,1,0.042,1,0.049,2,0.075,2,0.084,2,0.088
D,Maguire,5.5,5.5,Man Utd,0,0,83,4.613,82,3.909,81,3.495,81,4.124,79,3.001,79,3.425,78,3.56
M,Fred,5.5,5.5,Man Utd,0,0,33,1.386,35,1.356,39,1.449,33,1.325,36,1.287,38,1.433,38,1.421
D,Shaw,5.0,5.0,Man Utd,0,0,75,4.09,77,3.578,75,3.14,75,3.736,75,2.745,72,3.03,71,3.13
M,Lingard,6.0,6.0,Man Utd,0,0,8,0.456,8,0.415,10,0.5,8,0.432,10,0.479,10,0.511,10,0.498
M,Fernandes,10.5,10.5,Man Utd,0,0,76,5.898,73,5.097,73,4.845,73,5.317,70,4.358,69,4.697,70,4.655
F,Martial,9.0,9.0,Man Utd,0,0,76,4.901,73,4.329,73,4.172,72,4.431,70,3.833,70,4.12,71,4.048
M,Pereira,5.0,5.0,Man Utd,0,0,5,0.261,6,0.308,6,0.289,6,0.317,7,0.323,7,0.349,7,0.342
G,Henderson,5.5,5.5,Man Utd,0,0,8,0.403,9,0.417,9,0.398,8,0.384,12,0.503,9,0.396,10,0.456
M,Rashford,9.5,9.5,Man Utd,0,0,80,5.543,78,4.902,77,4.629,76,5.001,73,4.14,75,4.645,71,4.306
D,Tuanzebe,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Lindelöf,5.0,5.0,Man Utd,0,0,77,3.934,76,3.321,74,2.936,72,3.363,74,2.576,72,2.868,71,2.983
M,McTominay,5.0,5.0,Man Utd,0,0,33,1.48,34,1.401,33,1.312,34,1.447,34,1.282,34,1.362,36,1.436
D,Bailly,5.0,5.0,Man Utd,0,0,18,0.957,15,0.677,19,0.782,18,0.874,19,0.69,19,0.788,24,1.043
M,James,6.5,6.5,Man Utd,0,0,19,1.044,20,1.014,21,1.022,22,1.151,26,1.203,23,1.135,25,1.216
D,Fosu-Mensah,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.044
D,Wan-Bissaka,5.5,5.5,Man Utd,0,0,83,4.5,85,3.949,82,3.452,81,4.027,80,2.956,81,3.414,78,3.458
D,Dalot,5.0,5.0,Man Utd,0,0,2,0.116,1,0.05,3,0.139,3,0.16,4,0.165,4,0.186,6,0.291
M,Greenwood,7.5,7.5,Man Utd,0,0,64,3.829,63,3.444,64,3.375,64,3.645,60,3.007,63,3.357,60,3.189
M,Chong,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Garner,4.5,4.5,Man Utd,0,0,0,0,1,0.042,0,0,1,0.043,1,0.039,2,0.081,2,0.081
D,Williams,4.5,4.5,Man Utd,0,0,12,0.801,11,0.64,12,0.621,12,0.748,11,0.506,14,0.735,14,0.755
D,Mengi,4.0,4.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,1,0.042,0,0
F,Carroll,5.5,5.5,Newcastle,41,1.967,31,1.549,32,1.337,22,1.152,27,1.132,26,1.095,26,1.262,27,1.263
M,Shelvey,5.5,5.5,Newcastle,75,2.636,75,2.772,72,2.304,68,2.657,70,2.248,69,2.243,69,2.524,72,2.509
M,Ritchie,5.0,5.0,Newcastle,70,2.789,70,2.937,69,2.414,69,3.084,67,2.369,64,2.336,65,2.66,66,2.623
D,Fernández,5.0,5.0,Newcastle,79,2.371,78,2.842,79,1.855,74,3.045,72,1.714,71,1.953,73,2.52,73,2.235
D,Clark,4.5,4.5,Newcastle,50,1.597,45,1.762,38,0.963,41,1.795,44,1.122,46,1.342,45,1.659,42,1.377
G,Darlow,5.0,5.0,Newcastle,90,3.453,89,3.774,88,3.262,88,3.913,87,3.223,87,3.364,87,3.623,86,3.418
G,Dubravka,5.0,5.0,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Lejeune,4.5,4.5,Newcastle,1,0.033,2,0.077,2,0.052,3,0.128,3,0.078,4,0.117,4,0.145,3,0.098
D,Lascelles,4.5,4.5,Newcastle,69,1.995,65,2.291,65,1.485,65,2.567,65,1.5,63,1.688,65,2.172,64,1.897
F,Gayle,6.0,6.0,Newcastle,5,0.327,28,1.808,42,2.115,56,3.631,56,2.73,54,2.655,55,3.249,57,3.242
M,Atsu,5.5,5.5,Newcastle,11,0.447,10,0.408,9,0.327,8,0.347,10,0.363,12,0.447,12,0.479,13,0.515
D,Dummett,4.5,4.5,Newcastle,46,1.363,38,1.369,43,1.03,41,1.668,43,1.042,45,1.263,43,1.483,44,1.343
D,Manquillo,4.5,4.5,Newcastle,64,1.91,62,2.247,60,1.429,62,2.522,57,1.372,58,1.61,58,1.999,55,1.689
D,Krafth,4.5,4.5,Newcastle,33,1.114,30,1.228,29,0.778,29,1.304,33,0.888,33,1.013,30,1.15,35,1.197
D,Schär,5.0,5.0,Newcastle,5,0.158,26,0.988,38,0.929,38,1.621,37,0.916,40,1.129,39,1.399,41,1.322
D,Yedlin,4.5,4.5,Newcastle,16,0.496,18,0.666,22,0.539,21,0.862,20,0.496,21,0.593,21,0.735,22,0.688
M,Hayden,5.0,5.0,Newcastle,74,2.237,71,2.247,66,1.839,68,2.255,64,1.799,64,1.826,65,2.036,62,1.88
M,Aarons,5.0,5.0,Newcastle,17,0.673,18,0.73,17,0.607,19,0.801,19,0.677,18,0.646,17,0.67,17,0.653
M,Saint-Maximin,5.5,5.5,Newcastle,76,3.028,74,3.066,71,2.511,72,3.137,72,2.559,72,2.576,71,2.843,68,2.677
M,Almirón,6.0,6.0,Newcastle,80,3.58,77,3.687,72,2.814,73,3.649,71,2.778,70,2.78,66,3.046,69,3.058
F,Joelinton,6.0,6.0,Newcastle,65,2.555,54,2.236,51,1.832,49,2.122,47,1.708,50,1.796,51,2.042,48,1.899
F,Muto,5.0,5.0,Newcastle,3,0.119,3,0.119,3,0.111,2,0.081,2,0.074,3,0.111,3,0.117,4,0.163
D,Watts,4.0,4.0,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Sharp,6.0,6.0,Sheffield Utd,43,1.983,42,2.214,42,2.2,45,1.919,43,2.462,45,1.722,45,1.789,46,1.856
F,McGoldrick,5.5,5.5,Sheffield Utd,50,2.243,47,2.428,49,2.501,47,1.992,49,2.779,48,1.807,47,1.865,49,1.956
D,Basham,5.0,5.0,Sheffield Utd,83,2.676,82,2.958,79,2.965,78,1.985,76,3.361,76,1.189,75,1.159,72,1.512
M,Fleck,6.0,6.0,Sheffield Utd,57,2,57,2.213,60,2.323,59,1.962,61,2.633,58,1.729,59,1.813,59,1.863
D,Stevens,5.5,5.5,Sheffield Utd,87,3.276,83,3.662,84,3.809,81,2.494,80,4.239,78,1.529,76,1.505,78,1.989
G,Moore,4.5,4.5,Sheffield Utd,0,0,0,0,0,0,1,0.038,2,0.094,1,0.035,0,0,3,0.11
M,Norwood,5.0,5.0,Sheffield Utd,78,2.736,75,2.939,76,3.018,74,2.471,70,3.12,68,2.042,71,2.192,69,2.195
G,Foderingham,4.5,4.5,Sheffield Utd,0,0,0,0,1,0.044,1,0.038,0,0,2,0.071,2,0.071,2,0.073
D,Baldock,5.5,5.5,Sheffield Utd,87,2.916,83,3.174,84,3.322,81,2.185,82,3.801,81,1.367,79,1.331,76,1.701
D,Jack Robinson,4.5,4.5,Sheffield Utd,13,0.409,23,0.795,25,0.897,29,0.73,30,1.256,34,0.541,35,0.546,38,0.794
D,Egan,5.0,5.0,Sheffield Utd,88,3.095,83,3.348,83,3.466,82,2.334,80,3.876,79,1.428,79,1.421,77,1.821
D,O'Connell,5.0,5.0,Sheffield Utd,85,2.928,82,3.215,81,3.289,80,2.23,80,3.776,78,1.383,79,1.387,77,1.786
M,Lundstram,5.5,5.5,Sheffield Utd,41,1.528,45,1.839,47,1.937,42,1.498,49,2.208,49,1.554,50,1.629,52,1.741
M,Osborn,5.0,5.0,Sheffield Utd,27,0.918,30,1.078,29,1.046,35,1.126,33,1.265,36,1.074,35,1.064,38,1.175
F,McBurnie,6.0,6.0,Sheffield Utd,72,3.015,72,3.495,70,3.405,67,2.685,66,3.558,67,2.384,65,2.438,64,2.434
F,Callum Robinson,5.5,5.5,Sheffield Utd,6,0.277,9,0.469,11,0.565,11,0.49,11,0.611,13,0.522,13,0.545,14,0.587
F,Mousset,6.0,6.0,Sheffield Utd,7,0.365,9,0.537,9,0.537,10,0.49,12,0.786,9,0.397,12,0.546,11,0.508
M,Berge,5.0,5.0,Sheffield Utd,68,2.278,67,2.416,62,2.26,66,2.127,66,2.566,67,1.975,65,1.954,61,1.908
F,Long,5.5,5.5,Southampton,32,1.691,32,1.6,34,1.836,34,2.04,32,1.422,31,1.671,34,1.94,34,1.945
D,Bertrand,5.0,5.0,Southampton,88,3.613,85,2.811,83,3.506,84,3.854,82,1.945,79,3.247,78,3.214,78,3.679
G,McCarthy,4.5,4.5,Southampton,90,3.835,89,3.514,88,3.842,87,3.822,86,3.123,87,3.732,87,3.682,88,4.001
M,Oriol Romeu,4.5,4.5,Southampton,80,2.241,77,2.076,74,2.153,72,2.208,71,1.788,71,2.067,72,2.113,71,2.183
M,Redmond,6.5,6.5,Southampton,82,3.598,81,3.285,79,3.562,80,3.973,76,2.776,77,3.434,77,3.623,74,3.57
F,Ings,8.5,8.5,Southampton,74,3.777,71,3.391,70,3.672,71,4.206,71,2.952,70,3.645,68,3.815,67,3.781
D,Stephens,5.0,5.0,Southampton,65,2.492,64,1.966,65,2.571,65,2.737,63,1.386,64,2.444,61,2.327,63,2.787
M,Armstrong,5.5,5.5,Southampton,59,2.42,58,2.262,59,2.498,59,2.727,57,2.009,57,2.372,59,2.576,56,2.529
D,Vestergaard,4.5,4.5,Southampton,41,1.653,42,1.348,42,1.734,44,1.937,44,1.025,41,1.614,47,1.862,45,2.051
M,Ward-Prowse,6.0,6.0,Southampton,86,3.25,83,3.023,81,3.221,81,3.546,78,2.561,80,3.111,77,3.185,74,3.192
G,Gunn,4.5,4.5,Southampton,0,0,0,0,1,0.043,2,0.087,2,0.072,2,0.085,2,0.084,1,0.045
M,Boufal,5.5,5.5,Southampton,9,0.381,11,0.447,14,0.614,12,0.573,17,0.63,17,0.73,16,0.718,19,0.877
M,Reed,4.5,4.5,Fulham,0,0,0,0,1,0.043,2,0.072,1,0.038,1,0.041,1,0.042,2,0.079
M,Sims,4.5,4.5,Southampton,2,0.084,2,0.08,3,0.128,3,0.139,4,0.148,5,0.21,4,0.176,5,0.225
D,Walker-Peters,4.5,4.5,Southampton,76,2.986,75,2.329,74,2.979,72,3.11,69,1.532,69,2.678,68,2.635,67,3.021
D,Bednarek,4.5,4.5,Southampton,59,2.131,59,1.705,56,2.092,57,2.256,55,1.119,58,2.075,56,1.988,54,2.26
F,Adams,6.0,6.0,Southampton,48,2.476,49,2.313,49,2.546,45,2.637,50,2.092,48,2.474,46,2.547,48,2.653
D,Valery,5.0,5.0,Southampton,12,0.474,14,0.448,14,0.567,15,0.652,18,0.421,19,0.746,20,0.787,20,0.9
M,Smallbone,4.5,4.5,Southampton,30,1.12,33,1.169,34,1.283,37,1.486,37,1.21,36,1.343,38,1.454,38,1.499
D,Vokins,4.0,4.0,Southampton,0,0,1,0.031,1,0.039,2,0.083,3,0.07,4,0.151,3,0.112,4,0.172
F,Obafemi,5.0,5.0,Southampton,24,1.139,24,1.076,24,1.168,26,1.383,24,0.98,25,1.201,28,1.406,28,1.417
M,Djenepo,5.5,5.5,Southampton,10,0.438,14,0.569,14,0.634,15,0.743,18,0.664,17,0.73,18,0.815,21,0.976
G,Lloris,5.5,5.5,Spurs,89,4.055,89,4.02,87,4.284,87,3.444,88,4.126,86,4.086,85,4.037,86,3.949
D,Rose,5.0,5.0,Spurs,2,0.081,5,0.193,7,0.329,7,0.192,8,0.35,10,0.432,12,0.529,11,0.458
M,Sissoko,5.0,5.0,Spurs,71,2.54,67,2.342,68,2.63,71,2.141,70,2.667,64,2.37,66,2.474,70,2.571
D,Alderweireld,5.5,5.5,Spurs,76,3.218,74,2.982,72,3.537,72,2.026,74,3.367,73,3.294,68,3.13,71,3.072
M,Lamela,6.0,6.0,Spurs,26,1.454,23,1.248,22,1.346,26,1.147,24,1.483,29,1.649,29,1.7,27,1.616
F,Kane,10.5,10.5,Spurs,84,5.145,81,4.82,83,5.516,80,3.787,80,5.467,78,4.847,75,4.851,73,4.804
D,Aurier,5.5,5.5,Spurs,60,2.716,58,2.467,59,3.081,58,1.69,59,2.867,57,2.72,54,2.641,59,2.714
M,Son,9.0,9.0,Spurs,72,4.398,66,3.94,68,4.634,70,3.302,67,4.538,67,4.198,64,4.213,65,4.289
D,Dier,5.0,5.0,Spurs,62,2.616,61,2.441,63,3.089,61,1.699,60,2.735,59,2.646,60,2.754,56,2.422
M,Lucas Moura,7.0,7.0,Spurs,56,2.976,58,2.982,57,3.289,56,2.365,59,3.413,54,2.919,56,3.111,54,3.004
G,Gazzaniga,4.5,4.5,Spurs,0,0,0,0,1,0.047,1,0.038,0,0,1,0.046,3,0.137,1,0.044
M,Alli,8.0,8.0,Spurs,47,2.71,45,2.505,50,3.178,48,2.173,48,3.039,48,2.803,52,3.171,50,3.019
D,Davies,5.0,5.0,Spurs,86,3.564,83,3.267,81,3.9,81,2.232,79,3.526,76,3.349,76,3.422,77,3.263
M,Højbjerg,5.0,5.0,Spurs,43,1.591,47,1.69,46,1.823,44,1.401,45,1.763,45,1.703,47,1.802,45,1.708
M,Winks,5.5,5.5,Spurs,46,1.541,45,1.48,41,1.48,44,1.296,41,1.46,47,1.612,43,1.503,43,1.484
D,Sánchez,5.5,5.5,Spurs,41,1.697,44,1.728,44,2.096,45,1.255,44,1.945,46,2.017,47,2.1,46,1.92
D,Sessegnon,5.0,5.0,Spurs,1,0.048,2,0.091,2,0.11,3,0.099,2,0.103,2,0.101,4,0.206,4,0.196
M,Bergwijn,7.5,7.5,Spurs,29,1.378,35,1.608,35,1.795,29,1.12,30,1.546,33,1.584,34,1.677,36,1.774
M,Fernandes,5.0,5.0,Spurs,0,0,0,0,0,0,1,0.037,1,0.044,1,0.042,1,0.043,3,0.129
D,Tanganga,5.0,5.0,Spurs,1,0.042,2,0.08,3,0.145,4,0.115,5,0.225,7,0.313,6,0.272,5,0.215
M,Lo Celso,7.0,7.0,Spurs,55,2.497,56,2.48,53,2.619,54,2.014,56,2.753,54,2.51,53,2.528,52,2.48
M,Skipp,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Ndombele,6.0,6.0,Spurs,2,0.078,4,0.152,3,0.123,4,0.137,5,0.207,5,0.199,6,0.242,6,0.239
D,Foyth,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043
D,Gibbs,4.5,4.5,West Brom,65,1.908,64,1.911,62,1.42,62,1.889,63,2.574,59,1.883,62,2.315,63,1.726
F,Robson-Kanu,5.5,5.5,West Brom,60,2.467,58,2.286,63,2.355,60,2.464,55,2.53,57,2.33,56,2.593,53,2.113
M,Livermore,5.0,5.0,West Brom,83,2.393,81,2.328,80,2.195,78,2.301,79,2.539,76,2.267,77,2.455,76,2.182
M,Grosicki,5.5,5.5,West Brom,48,2.098,43,1.832,43,1.733,47,2.063,47,2.345,44,1.939,46,2.285,46,1.936
M,Phillips,5.5,5.5,West Brom,49,2.025,55,2.191,55,2.071,53,2.186,52,2.424,54,2.229,51,2.369,49,1.952
